Proizvajalec;Model;Gorivo;Moè (km);Menjalnik;Pogon;ABS;Navigacija;Klima;Parkirni senzor
BMW;BMW 325i Cabrio Automatic;Bencin;171;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW M3 Kat. Cabrio ;Bencin;195;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW M3 Cabrio ;Bencin;200;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW M3 Kat. Cabrio ;Bencin;215;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 316 (4-Gang) (2-Türer);Bencin;90;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 316 (5-Gang) (2-Türer);Bencin;90;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 316 Automatik (2-Türer);Bencin;90;Avtomatski;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 318i Kat. (2-Türer);Bencin;102;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 318i Kat. Automatic (2-Türer);Bencin;102;Avtomatski;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 318i (4-Gang) (2-Türer);Bencin;105;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 318i (5-Gang) (2-Türer);Bencin;105;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 318i Automatic (2-Türer);Bencin;105;Avtomatski;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 325e Kat. (2-Türer);Bencin;122;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325e Kat. Automatic (2-Türer);Bencin;122;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 320i (2-Türer);Bencin;125;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 320i Automatik (2-Türer);Bencin;125;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325e Kat. (2-Türer);Bencin;129;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325e Kat. Automatic (2-Türer);Bencin;129;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 320i (2-Türer);Bencin;129;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 320i Automatik (2-Türer);Bencin;129;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 320i Kat. (2-Türer);Bencin;129;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 320i Kat. Automatik (2-Türer);Bencin;129;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 323i (2-Türer);Bencin;150;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 323i Automatik (2-Türer);Bencin;150;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325i Kat. (2-Türer);Bencin;170;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325i Kat. Automatic (2-Türer);Bencin;170;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325ix Kat. (2-Türer);Bencin;170;Roèni;Pogono na vsa kolesa;DA;NE;DA;NE
BMW;BMW 325ix Kat. Automatic (2-Türer);Bencin;170;Avtomatski;Pogono na vsa kolesa;DA;NE;DA;NE
BMW;BMW 325i (2-Türer);Bencin;171;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325i Automatic (2-Türer);Bencin;171;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325ix (2-Türer);Bencin;171;Roèni;Pogono na vsa kolesa;DA;NE;DA;NE
BMW;BMW 325ix Automatic (2-Türer);Bencin;171;Avtomatski;Pogono na vsa kolesa;DA;NE;DA;NE
